p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0.000341818125301777,-0.199084739844526,0.508,0.529,1,1,PTP4A2
0.000344245228744412,-0.239220192988007,0.109,0.187,1,1,MED7
0.000345257546584661,0.0751978131968259,0.173,0.097,1,1,IFI47
0.000345519698281736,-0.189732990953588,0.455,0.462,1,1,SMCHD1
0.000349208019184008,-0.289343039115207,0.248,0.301,1,1,HPCAL1
0.000350678261303088,-0.178953148680804,0.045,0.105,1,1,ANKMY2
0.000353883070427553,0.206775299475663,0.417,0.291,1,1,PNISR
0.000357527501034474,-0.213792888980752,0.406,0.427,1,1,EIF5B
0.000357886710884648,-0.301245251326899,0.383,0.459,1,1,REEP3
0.000358881885244139,-0.208733567826569,0.068,0.15,1,1,ECD
0.000360345211882357,-0.180873201073214,0.165,0.206,1,1,HNRNPLL
0.000362595271709774,-0.215793887014807,0.35,0.362,1,1,FLVCR1
0.000362632188938893,-0.239380434391369,0.241,0.307,1,1,COX16
0.00036280565188846,-0.235157490127774,0.109,0.199,1,1,MRTO4
0.000367106515262658,0.129554715655896,0.165,0.084,1,1,ALG9
0.000367678184193018,0.126507037242676,0.365,0.26,1,1,CDK12
0.000367761564241143,0.149397154765948,0.391,0.274,1,1,TAZ
0.000368056296556389,-0.105318145623754,0.241,0.22,1,1,HIPK2
0.000368794803651853,-0.240216233497907,0.286,0.338,1,1,NSMCE4A
0.000372755962702116,-0.457420761399522,0.117,0.193,1,1,ERN1
0.000373906074630821,-0.207931560163298,0.158,0.207,1,1,NVL
0.000373923299009891,0.19696183810227,0.353,0.232,1,1,DNLZ
0.00037796791282835,-0.348002265893567,0.079,0.154,1,1,GM42047
0.00037858358707675,-0.222929098189736,0.09,0.168,1,1,PAPSS1
0.000385421365772335,0.328907780865201,0.977,0.978,1,1,H2-AB1
0.000385447533549691,-0.215361834511779,0.376,0.405,1,1,TAF15
0.000385981711496006,-0.102930747464413,0.357,0.325,1,1,ARL8B
0.00038616735495666,-0.229507427833136,0.669,0.699,1,1,PRRC2C
0.000387411450472006,-0.166408612333334,0.538,0.517,1,1,SFR1
0.000388121465433698,-0.230365303092449,0.286,0.349,1,1,EBNA1BP2
0.000391157703559271,-0.238914020252132,0.282,0.344,1,1,ENY2
0.00039188956946865,0.0993084291638233,0.113,0.049,1,1,PPM1H
0.000394860597360147,-0.123978374620938,0.331,0.323,1,1,SAFB
0.000395447863371692,-0.256317008142208,0.425,0.49,1,1,NT5C
0.000395481715090385,-0.206408250723621,0.425,0.466,1,1,PSMD6
0.000395954756092659,-0.147446830790773,0.132,0.146,1,1,TRADD
0.000397481371906405,-0.00105472739681478,0.32,0.246,1,1,KDM5B
0.000398275892104364,0.075541296598381,0.143,0.076,1,1,AKT1S1
0.000398346990461257,0.203820405369134,0.229,0.129,1,1,ZC3H12D
0.000398787894491998,-0.22262764460715,0.481,0.514,1,1,H2-M3
0.000399215685679882,0.057724218431181,0.823,0.717,1,1,ZFC3H1
0.00040439820951835,-0.210652742728319,0.075,0.162,1,1,B230118H07RIK
0.000404962360493273,-0.228694202569964,0.323,0.371,1,1,RAB1B
0.000408607121904027,-0.121822906525172,0.169,0.168,1,1,ABCF2
0.00040865060751932,-0.257019160172288,0.132,0.199,1,1,MIDN
0.000409523544148859,-0.206895624378902,0.387,0.404,1,1,EMC2
0.000410501597202419,-0.196811434191048,0.214,0.239,1,1,PDRG1
0.000412679075174255,-0.274601269153208,0.41,0.485,1,1,SUPT16
0.000416481298539839,0.112167066860278,0.335,0.226,1,1,B3GNT2
0.000416844004930098,-0.212217284292902,0.383,0.415,1,1,PDCL3
0.000418253046834163,0.22834494383741,0.312,0.197,1,1,DCXR
0.000419080777816259,-0.293290221639168,0.417,0.482,1,1,SPAG9
0.000419808629145884,-0.194613565403052,0.049,0.125,1,1,TBC1D31
0.000420278584570683,-0.212039465084374,0.071,0.135,1,1,HK1
0.000422318920241729,-0.257564950385552,0.214,0.291,1,1,TGS1
0.000423896705580784,-0.23426046940618,0.511,0.579,1,1,SNRNP70
0.00042423444359582,0.138721616734889,0.508,0.383,1,1,FAM174A
0.000424373146481925,-0.164675380843774,0.353,0.366,1,1,TIMM17B
0.00042437526582176,-0.0621019945499486,0.526,0.468,1,1,CYC1
0.000425685920742167,-0.253739459039287,0.218,0.318,1,1,BBIP1
0.000429624560017436,-0.209706617129688,0.124,0.17,1,1,MOSPD3
0.000429762528695225,0.0903938575248682,0.541,0.43,1,1,TAOK3
0.000429879424026224,0.124504163274178,0.297,0.197,1,1,CAB39
0.000432099669203546,-0.066897078497471,0.635,0.577,1,1,CSDE1
0.000433246288172874,0.13840301664038,0.188,0.1,1,1,SLC48A1
0.000434357181889819,0.288593899095465,0.436,0.316,1,1,PTEN
